locID,city_name
453124,Сороки
453126,Пригородный
453135,Горняк
453137,Ляпуниха
453142,Градолюбля
453146,Кашарово
453147,Обрадово
453149,Озаренный
453155,Горончарово
453156,Гуровичи
453158,Рученая
453162,Буславля
453166,Горелышево
453177,Красноармеец
453180,Ненорово
453183,Колокольня
453186,Беньково
453187,Шунково
453188,Прямик
453189,Ряд
453190,Пестово
453191,Смородино
453192,Крутец
453196,Семкино
453197,Щеглетня
453198,Калягино
453200,Локтево
453205,Акшонтово
453206,Пеньково
453207,Подберезье
453208,Добрецово
453212,Петрилово
453213,Катиха
453215,Богайкино
453220,Константиниха
453222,Ладеньково
453224,Хорево
453227,Политское
453228,Осовец
453229,Черенково
453230,Борилово
453232,Сорочиха
453233,Никифорово
453234,Рыскино
453237,Галкино
453239,Шитовичи
453240,Петровка
453241,Бухолово
453243,Пашино
453246,Бурмино
453248,Колмаково
453252,Григаново
453253,Рачково
453254,Маньково
453255,Черенцово
453256,Дядькино
453257,Павлово
453265,Овинчище
453270,Миронушка
453278,Гузятино
453286,Коротско
453287,Поплавенец
453296,Рядчино
453302,Грязны
453325,Гвоздки
453333,Головково
453334,Макушино
453339,Костелево
453344,Козлово
453350,Межутоки
453364,Княжево
453372,Симаниха
453373,Пабережье
453379,Куженкино
453382,Софиевка
453386,Плав
453387,Комкино
453388,Шарапиха
453392,Шлина
453397,Чудино
453400,Нескучай
453403,Глыбы
453408,Граничный
453415,Леткино
453419,Стахново
453422,Козино
453424,Лесной
453425,Губарево
453428,Раево
453430,Новотроитское
453434,Плосково
453436,Перерва
453437,Покров
453441,Озерово
453446,Городок
453449,Домкино
453450,Дмитровка
453453,Кисляково
453454,Коммуна
453457,Букино
453458,Кузино
453460,Доброе
453461,Орлово
453462,Матерово
453463,Болобоново
453466,Перетерг
453467,Романиха
453468,Речище
453471,Глумилово
453474,Карпово
453475,Осинка
453477,Подолище
453481,Шемелинка
453485,Горовастица
453488,Ломаки
453489,Голубница
453643,Закумачное
453645,Рассвет
453650,Утес
453658,Аласай
453674,Байты
453676,Аккудук
453688,Зарево
453712,Ушкаты
453725,Кужанберля
455597,Ситки
461688,Ежево
461690,Езевец
461692,Чернореченский
461698,Сосновка
461699,Сасово
461700,Сараны
461704,Новозавидовский
461705,Краснолесный
461707,Орловка
461708,Оля
461710,Некрасово
461715,Малиново
461716,Красночабанский
461717,Иловлинка
461720,Костерево
461721,Климовская
461723,Халдеево
461725,Каримово
461729,Городищна
461730,Боровичи
461737,Озтищево
461738,Озагир
461740,Зюзино
461751,Зюри
461753,Зюраткуль
461756,Зюкайка
461759,Зюино
461761,Зыцово
461763,Зыряново
461765,Усовский
461767,Зыряна
461769,Зыковы
461771,Зыково
461783,Зуково
461786,Зыковка
461790,Зыколино
461792,Зыки
461795,Зыкеево
461798,Зычебаш
461807,Зыбино
461813,Зыбинка
461819,Зязелга
461821,Зятчашур
461822,Зянтемошур
461823,Зянкино
461825,Зямбайгурт
461831,Зяблуха
461832,Зяблово
461835,Зябликово
461837,Зябки
461846,Звягино
461860,Звягин
461861,Звоз
461863,Звоны
461868,Звонец
461869,Звонаревка
461873,Звездный
461874,Звездка
461892,Зверовичи
461904,Зверево
461914,Звенячка
461916,Звенигово
461918,Звенигородка
461920,Звенигород
461922,Званное
461929,Званец
461931,Звана
461934,Звад
461935,Зазулин
461937,Зуйково
461945,Зуево
461964,Зуевка
461966,Зуевский
461970,Зуева
461974,Зуята
461975,Зуена
461976,Зуяково
461979,Зура
461984,Зултурган
461985,Зилоб
461987,Зухрабкент
461991,Зуи
461998,Зубцы
462003,Зубцово
462008,Зубцов
462010,Зубрилово
462015,Зубовский
462017,Зубцовская
462022,Зубово
462039,Зубовка
462060,Зубково
462065,Зубков
462069,Зубилиха
462078,Зубари
462080,Зубаревка
462093,Зубахин
462094,Зубаирово
462097,Зрых
462098,Зрянин
462105,Зранка
462107,Зовка
462108,Зотовцы
462109,Зотовский
462110,Зотовская
462111,Зотово
462118,Зотино
462120,Зотина
462126,Зорниковский
462127,Зоркино
462138,Самодуровка
462139,Зорино
462147,Зори
462150,Зоновы
462152,Зониха
462153,Зон
462158,Зольская
462161,Золотята
462165,Золотушка
462169,Золотухино
462172,Золотуха
462181,Золотое
462182,Золотовка
462186,Золотой
462187,Золотовский
462191,Золотово
462195,Золотоношка
462200,Золотково
462209,Золотцлово
462210,Золотилово
462224,Золотава
462225,Золотари
462228,Золотарево
462231,Золотаревка
462239,Золотанка
462240,Зольное
462250,Золино
462256,Закомелье
462261,Зобово
462263,Зобовка
462264,Зобнино
462266,Зобни
462270,Зобищи
462275,Энехметь
462292,Знаменское
462300,Знаменка
462321,Знаменская
462322,Знаменск
462373,Змиево
462374,Змеево
462377,Змиевка
462382,Змейско
462383,Змейская
462399,Змеевка
462410,Зманово
462413,Злынка
462414,Злынь
462417,Злоказово
462421,Злодарь
462423,Злобаево
462425,Злобино
462434,Злобинка
462440,Златоусово
462442,Златоустово
462443,Златоустовка
462444,Златоуст
462445,Заакакурье
462447,Зизик
462450,Зиянчурино
462452,Зиуриб
462455,Зириклытамак
462456,Зириково
462460,Зириклы
462467,Зирган
462470,Зирани
462471,Зиняки
462472,Зинцар
462473,Зимстан
462475,Зиновьево
462484,Зиновкино
462486,Зиновка
462493,Зинково
462496,Зинки
462498,Зинино
462500,Зенгино
462501,Зингейский
462503,Зинеевка
462504,Зиневский
462510,Зинаидино
462511,Зимята
462516,Зимовной
462517,Зимовский
462519,Зимовская
462520,Зимовное
462522,Зимовники
462526,Зимонино
462527,Зимогорье
462534,Зимняя
462535,Зимняцкий
462538,Зимняк
462540,Зимнячка
462545,Зимницы
462566,Зимник
462577,Зимненки
462581,Зимино
462595,Зименки
462604,Зимарово
462605,Зимари
462606,Зилязекулово
462607,Зило
462613,Зилга
462614,Зильдярово
462615,Зильдик
462618,Зилай
462626,Зилаир
462627,Зиль
462630,Зихново
462631,Спицына
462632,Зикеево
462635,Зигаза
